t,dx_px,dy_px,angle_x,angle_y,valid,spot_id,spot_score,height,yaw_deg,vn,ve,v_fwd,v_right,x,y,disp_n,disp_e
0.226,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,6.35,-0.0139,0.0249,-0.0111,0.0262,0.0440,0.0428,-0.0664,0.0159
0.277,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,6.35,-0.0139,0.0249,-0.0111,0.0262,0.0440,0.0428,-0.0664,0.0159
0.326,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,6.35,-0.0139,0.0249,-0.0111,0.0262,0.0440,0.0428,-0.0664,0.0159
0.377,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,6.35,-0.0139,0.0249,-0.0111,0.0262,0.0440,0.0428,-0.0664,0.0159
0.426,223.0,-202.0,-0.1919717639684677,-0.2148905098438263,1,0,127,0.940,-1.04,-0.0139,0.0249,-0.0144,0.0246,0.0440,0.0428,-0.0664,0.0159
0.476,213.0,-179.0,-0.1699475795030594,-0.20479635894298553,1,0,127,0.970,-0.92,0.0118,0.0124,0.0116,0.0126,0.0404,0.0463,-0.0701,0.0194
0.527,213.0,-179.0,-0.1699475795030594,-0.20479635894298553,1,0,127,0.970,-0.83,0.0184,0.0105,0.0183,0.0107,0.0415,0.0470,-0.0689,0.0201
0.576,213.0,-180.0,-0.17089523375034332,-0.2048160284757614,1,0,127,0.970,-0.72,0.0234,0.0086,0.0233,0.0089,0.0428,0.0476,-0.0677,0.0207
0.627,212.0,-181.0,-0.1718224585056305,-0.20387661457061768,1,0,127,0.970,-0.63,0.0279,0.0066,0.0278,0.0069,0.0439,0.0482,-0.0665,0.0213
0.677,213.0,-181.0,-0.1718428134918213,-0.20483575761318207,1,0,127,0.980,-0.53,0.0323,0.0043,0.0323,0.0046,0.0451,0.0486,-0.0653,0.0218
0.726,214.0,-182.0,-0.17281104624271393,-0.2058149129152298,1,0,127,0.980,-0.46,0.0323,0.0043,0.0323,0.0045,0.0451,0.0486,-0.0653,0.0218
0.777,212.0,-181.0,-0.1718224585056305,-0.20387661457061768,1,0,127,0.980,-0.39,0.0382,0.0011,0.0382,0.0014,0.0466,0.0492,-0.0639,0.0223
0.827,214.0,-182.0,-0.17281104624271393,-0.2058149129152298,1,0,127,0.970,-0.39,0.0433,-0.0016,0.0433,-0.0014,0.0479,0.0495,-0.0625,0.0226
0.877,215.0,-182.0,-0.172831729054451,-0.20677408576011658,1,0,127,0.970,-0.35,0.0484,-0.0046,0.0484,-0.0043,0.0495,0.0495,-0.0609,0.0226
0.927,216.0,-185.0,-0.1756962239742279,-0.20779454708099365,1,0,127,0.980,-0.32,0.0531,-0.0068,0.0532,-0.0065,0.0514,0.0492,-0.0590,0.0223
0.977,217.0,-187.0,-0.17761340737342834,-0.20879563689231873,1,0,127,0.980,-0.31,0.0568,-0.0083,0.0568,-0.0079,0.0534,0.0488,-0.0570,0.0219
1.027,220.0,-199.0,-0.1890561878681183,-0.21193841099739075,1,0,127,0.980,-0.32,0.0592,-0.0090,0.0592,-0.0087,0.0559,0.0484,-0.0545,0.0215
1.076,220.0,-199.0,-0.1890561878681183,-0.21193841099739075,1,0,95,0.980,-0.35,0.0592,-0.0091,0.0593,-0.0087,0.0576,0.0483,-0.0528,0.0214
1.127,221.0,-200.0,-0.19002771377563477,-0.2129221260547638,1,0,127,0.950,-0.40,0.0572,-0.0086,0.0573,-0.0082,0.0587,0.0481,-0.0517,0.0212
1.176,225.0,-206.0,-0.19581405818462372,-0.2169083207845688,1,0,127,0.950,-0.45,0.0549,-0.0085,0.0550,-0.0081,0.0593,0.0477,-0.0512,0.0208
1.227,225.0,-207.0,-0.19676247239112854,-0.21693257987499237,1,0,127,0.950,-0.52,0.0525,-0.0093,0.0525,-0.0088,0.0596,0.0465,-0.0509,0.0196
1.277,227.0,-209.0,-0.1987098753452301,-0.21890497207641602,1,0,124,0.950,-0.61,0.0501,-0.0103,0.0502,-0.0098,0.0601,0.0443,-0.0503,0.0174
1.327,228.0,-211.0,-0.20063279569149017,-0.21991685032844543,1,0,127,0.950,-0.72,0.0498,-0.0089,0.0499,-0.0082,0.0618,0.0438,-0.0486,0.0169
1.377,229.0,-214.0,-0.20350497961044312,-0.22095529735088348,1,0,127,0.950,-0.83,0.0488,-0.0068,0.0489,-0.0061,0.0637,0.0435,-0.0467,0.0166
1.427,231.0,-218.0,-0.20735371112823486,-0.2229846566915512,1,0,127,0.960,-0.97,0.0463,-0.0045,0.0464,-0.0038,0.0651,0.0431,-0.0454,0.0162
1.476,231.0,-222.0,-0.21114903688430786,-0.2230917066335678,1,0,127,0.960,-1.11,0.0411,-0.0012,0.0412,-0.0004,0.0657,0.0428,-0.0447,0.0159
1.527,231.0,-226.0,-0.2149440050125122,-0.2232009917497635,1,0,127,0.960,-1.26,0.0354,0.0019,0.0354,0.0027,0.0656,0.0426,-0.0448,0.0157
1.577,230.0,-226.0,-0.2149159014225006,-0.22223731875419617,1,0,127,0.960,-1.40,0.0307,0.0044,0.0305,0.0051,0.0653,0.0428,-0.0451,0.0159
1.627,230.0,-226.0,-0.2149159014225006,-0.22223731875419617,1,0,127,0.970,-1.57,0.0235,0.0086,0.0232,0.0092,0.0643,0.0435,-0.0461,0.0166
1.677,230.0,-225.0,-0.21396732330322266,-0.22220991551876068,1,0,127,0.970,-1.75,0.0192,0.0116,0.0189,0.0121,0.0633,0.0442,-0.0471,0.0173
1.727,227.0,-220.0,-0.20914293825626373,-0.21918606758117676,1,0,127,0.940,-1.93,0.0141,0.0161,0.0136,0.0165,0.0619,0.0453,-0.0486,0.0184
1.777,228.0,-223.0,-0.2120150923728943,-0.2202288955450058,1,0,127,0.940,-2.12,0.0120,0.0189,0.0113,0.0193,0.0612,0.0462,-0.0492,0.0193
1.827,226.0,-221.0,-0.2100643366575241,-0.21824929118156433,1,0,127,0.980,-2.33,0.0097,0.0225,0.0088,0.0228,0.0605,0.0473,-0.0500,0.0204
1.876,225.0,-222.0,-0.21098558604717255,-0.21731236577033997,1,0,127,0.980,-2.55,0.0075,0.0263,0.0063,0.0266,0.0595,0.0486,-0.0509,0.0217
1.927,222.0,-223.0,-0.21185331046581268,-0.21444834768772125,1,0,127,0.970,-2.79,0.0044,0.0292,0.0030,0.0294,0.0586,0.0496,-0.0519,0.0227
1.976,219.0,-223.0,-0.21177423000335693,-0.21155771613121033,1,0,127,0.970,-3.04,0.0021,0.0321,0.0004,0.0322,0.0577,0.0503,-0.0527,0.0234
2.027,216.0,-222.0,-0.21074950695037842,-0.20864160358905792,1,0,127,0.930,-3.29,-0.0005,0.0340,-0.0024,0.0339,0.0566,0.0511,-0.0539,0.0242
2.077,211.0,-217.0,-0.20589105784893036,-0.20370209217071533,1,0,127,0.930,-3.54,-0.0024,0.0353,-0.0046,0.0351,0.0553,0.0520,-0.0552,0.0251
2.127,208.0,-214.0,-0.20298005640506744,-0.2007424235343933,1,0,127,0.940,-3.80,-0.0033,0.0360,-0.0057,0.0357,0.0540,0.0529,-0.0564,0.0260
2.177,205.0,-208.0,-0.19723419845104218,-0.1977185606956482,1,0,127,0.940,-4.06,-0.0029,0.0361,-0.0054,0.0358,0.0526,0.0538,-0.0579,0.0269
2.227,201.0,-205.0,-0.19430801272392273,-0.19380483031272888,1,0,127,0.950,-4.32,-0.0013,0.0355,-0.0040,0.0353,0.0513,0.0544,-0.0592,0.0275
2.277,199.0,-205.0,-0.1942647397518158,-0.19188088178634644,1,0,127,0.950,-4.57,0.0010,0.0344,-0.0017,0.0344,0.0502,0.0552,-0.0602,0.0283
2.327,196.0,-207.0,-0.19609078764915466,-0.18903665244579315,1,0,117,0.970,-4.82,0.0038,0.0334,0.0010,0.0336,0.0495,0.0562,-0.0609,0.0293
2.377,194.0,-206.0,-0.19510339200496674,-0.1870911419391632,1,0,116,0.970,-5.05,0.0060,0.0318,0.0032,0.0322,0.0487,0.0572,-0.0618,0.0303
2.427,189.0,-206.0,-0.19499969482421875,-0.1822795271873474,1,0,127,0.960,-5.27,0.0074,0.0291,0.0047,0.0297,0.0475,0.0580,-0.0629,0.0311
2.476,188.0,-206.0,-0.19497929513454437,-0.18131709098815918,1,0,127,0.960,-5.49,0.0092,0.0264,0.0067,0.0272,0.0467,0.0586,-0.0638,0.0317
2.527,183.0,-201.0,-0.19016022980213165,-0.1764083206653595,1,0,127,0.950,-5.71,0.0117,0.0225,0.0094,0.0235,0.0460,0.0589,-0.0645,0.0320
2.577,183.0,-199.0,-0.18827247619628906,-0.1763705015182495,1,0,127,0.950,-5.89,0.0142,0.0186,0.0123,0.0199,0.0453,0.0591,-0.0652,0.0322
2.626,180.0,-197.0,-0.18632857501506805,-0.17344820499420166,1,0,127,1.010,-6.11,0.0180,0.0142,0.0164,0.0161,0.0449,0.0588,-0.0655,0.0319
2.677,179.0,-197.0,-0.18631012737751007,-0.17248651385307312,1,0,127,1.010,-6.31,0.0223,0.0099,0.0211,0.0123,0.0449,0.0588,-0.0656,0.0319
2.726,177.0,-200.0,-0.18910358846187592,-0.17061743140220642,1,0,127,0.970,-6.51,0.0273,0.0059,0.0264,0.0089,0.0453,0.0583,-0.0652,0.0314
2.777,177.0,-201.0,-0.19004683196544647,-0.17063573002815247,1,0,127,0.970,-6.70,0.0310,0.0018,0.0306,0.0054,0.0458,0.0579,-0.0646,0.0310
2.827,176.0,-205.0,-0.19380082190036774,-0.16974739730358124,1,0,127,0.970,-6.88,0.0339,-0.0019,0.0339,0.0022,0.0462,0.0573,-0.0642,0.0304
2.877,176.0,-207.0,-0.19568689167499542,-0.16978491842746735,1,0,127,0.970,-7.05,0.0359,-0.0057,0.0363,-0.0013,0.0466,0.0564,-0.0638,0.0295
2.927,177.0,-215.0,-0.20324991643428802,-0.17090290784835815,1,0,127,0.980,-7.23,0.0364,-0.0093,0.0373,-0.0046,0.0469,0.0554,-0.0635,0.0285
2.976,176.0,-213.0,-0.20134444534778595,-0.16989997029304504,1,0,127,0.980,-7.44,0.0367,-0.0125,0.0380,-0.0076,0.0470,0.0543,-0.0634,0.0274
3.027,178.0,-219.0,-0.20704160630702972,-0.17194713652133942,1,0,127,0.970,-7.60,0.0369,-0.0156,0.0386,-0.0106,0.0474,0.0531,-0.0631,0.0262
3.077,177.0,-216.0,-0.20419281721115112,-0.17092277109622955,1,0,127,0.970,-7.80,0.0375,-0.0182,0.0396,-0.0129,0.0481,0.0518,-0.0624,0.0249
3.127,178.0,-219.0,-0.20704160630702972,-0.17194713652133942,1,0,127,0.960,-7.96,0.0384,-0.0202,0.0408,-0.0146,0.0490,0.0506,-0.0615,0.0237
3.177,180.0,-223.0,-0.21085470914840698,-0.17395851016044617,1,0,127,0.960,-8.15,0.0396,-0.0216,0.0422,-0.0158,0.0502,0.0494,-0.0603,0.0226
3.226,181.0,-225.0,-0.21276190876960754,-0.17496554553508759,1,0,127,0.950,-8.33,0.0397,-0.0226,0.0426,-0.0166,0.0513,0.0483,-0.0592,0.0214
3.277,183.0,-230.0,-0.21752065420150757,-0.17700432240962982,1,0,125,0.950,-8.51,0.0385,-0.0230,0.0414,-0.0171,0.0522,0.0471,-0.0582,0.0202
3.327,184.0,-236.0,-0.2232014685869217,-0.17810513079166412,1,0,127,0.970,-8.68,0.0362,-0.0220,0.0391,-0.0162,0.0529,0.0459,-0.0576,0.0190
3.376,186.0,-242.0,-0.22890639305114746,-0.18017826974391937,1,0,127,0.970,-8.86,0.0318,-0.0200,0.0345,-0.0149,0.0530,0.0449,-0.0574,0.0180
3.427,186.0,-245.0,-0.23173554241657257,-0.18025031685829163,1,0,127,0.970,-9.02,0.0276,-0.0175,0.0300,-0.0129,0.0532,0.0444,-0.0572,0.0175
3.477,186.0,-244.0,-0.23079252243041992,-0.1802261918783188,1,0,96,0.970,-9.19,0.0238,-0.0157,0.0260,-0.0117,0.0534,0.0424,-0.0571,0.0155
3.526,188.0,-249.0,-0.23555660247802734,-0.182283416390419,1,0,93,0.970,-9.36,0.0202,-0.0124,0.0219,-0.0090,0.0540,0.0415,-0.0565,0.0146
3.577,188.0,-249.0,-0.23555660247802734,-0.182283416390419,1,0,127,0.970,-9.52,0.0152,-0.0093,0.0165,-0.0066,0.0542,0.0411,-0.0562,0.0142
3.626,186.0,-253.0,-0.23927879333496094,-0.18044739961624146,1,0,127,0.910,-9.68,0.0106,-0.0061,0.0114,-0.0043,0.0540,0.0406,-0.0564,0.0137
3.676,185.0,-253.0,-0.23925398290157318,-0.17947907745838165,1,0,127,0.910,-9.83,0.0058,-0.0039,0.0064,-0.0029,0.0537,0.0404,-0.0568,0.0135
3.727,182.0,-249.0,-0.23541055619716644,-0.17647665739059448,1,0,127,0.950,-9.98,0.0016,-0.0024,0.0020,-0.0021,0.0530,0.0402,-0.0575,0.0133
3.777,182.0,-248.0,-0.23446804285049438,-0.1764526069164276,1,0,127,0.950,-10.15,-0.0019,-0.0022,-0.0014,-0.0025,0.0520,0.0400,-0.0585,0.0131
3.827,183.0,-250.0,-0.23637712001800537,-0.17746879160404205,1,0,87,0.950,-10.35,-0.0043,-0.0017,-0.0039,-0.0024,0.0511,0.0396,-0.0593,0.0127
3.876,181.0,-248.0,-0.23444433510303497,-0.17548489570617676,1,0,108,0.950,-10.55,-0.0066,-0.0011,-0.0063,-0.0023,0.0503,0.0391,-0.0601,0.0122
3.926,180.0,-249.0,-0.23536300659179688,-0.17454087734222412,1,0,127,0.930,-10.77,-0.0087,0.0001,-0.0086,-0.0016,0.0498,0.0385,-0.0607,0.0116
3.977,179.0,-248.0,-0.23439723253250122,-0.17354930937290192,1,0,127,0.930,-10.99,-0.0117,0.0010,-0.0117,-0.0012,0.0494,0.0385,-0.0611,0.0116
4.027,176.0,-254.0,-0.2399788647890091,-0.1707867681980133,1,0,127,0.930,-11.22,-0.0152,0.0018,-0.0152,-0.0012,0.0488,0.0388,-0.0616,0.0119
4.077,175.0,-254.0,-0.23995541036128998,-0.16981807351112366,1,0,127,0.930,-11.47,-0.0182,0.0018,-0.0181,-0.0019,0.0481,0.0390,-0.0623,0.0121
4.127,171.0,-250.0,-0.2360975444316864,-0.16585128009319305,1,0,82,0.960,-11.74,-0.0204,0.0018,-0.0203,-0.0024,0.0471,0.0390,-0.0634,0.0121
4.177,172.0,-246.0,-0.23235388100147247,-0.16672904789447784,1,0,127,0.960,-12.01,-0.0219,0.0016,-0.0217,-0.0029,0.0458,0.0391,-0.0646,0.0122
4.227,171.0,-238.0,-0.22479893267154694,-0.16558636724948883,1,0,127,0.960,-12.30,-0.0207,0.0022,-0.0207,-0.0023,0.0447,0.0398,-0.0657,0.0129
4.277,170.0,-236.0,-0.22289440035820007,-0.16457723081111908,1,0,127,0.960,-12.59,-0.0180,0.0028,-0.0182,-0.0012,0.0441,0.0401,-0.0663,0.0132
4.327,168.0,-233.0,-0.2200281322002411,-0.1625821441411972,1,0,127,0.970,-12.84,-0.0140,0.0037,-0.0145,0.0005,0.0445,0.0405,-0.0660,0.0136
4.377,167.0,-235.0,-0.2218906432390213,-0.16165708005428314,1,0,107,0.970,-13.16,-0.0092,0.0048,-0.0101,0.0025,0.0459,0.0416,-0.0646,0.0147
4.426,161.0,-237.0,-0.2236516922712326,-0.15589816868305206,1,0,127,0.950,-13.41,-0.0054,0.0051,-0.0065,0.0037,0.0476,0.0425,-0.0629,0.0156
4.477,159.0,-238.0,-0.22455279529094696,-0.15398436784744263,1,0,127,0.950,-13.70,-0.0047,0.0034,-0.0054,0.0021,0.0480,0.0428,-0.0625,0.0159
4.527,154.0,-241.0,-0.22727632522583008,-0.14920738339424133,1,0,127,0.940,-14.02,-0.0028,0.0004,-0.0029,-0.0003,0.0495,0.0434,-0.0610,0.0165
4.577,152.0,-238.0,-0.2244180291891098,-0.1472148895263672,1,0,127,0.940,-14.30,-0.0020,-0.0036,-0.0010,-0.0040,0.0498,0.0428,-0.0607,0.0159
4.627,149.0,-233.0,-0.21966300904750824,-0.14422127604484558,1,0,127,0.950,-14.62,0.0005,-0.0074,0.0024,-0.0070,0.0500,0.0426,-0.0604,0.0157
4.677,150.0,-234.0,-0.2206210494041443,-0.14520621299743652,1,0,89,0.950,-14.94,0.0046,-0.0105,0.0071,-0.0090,0.0508,0.0421,-0.0597,0.0152
4.726,151.0,-228.0,-0.2149985283613205,-0.14606338739395142,1,0,127,0.950,-15.28,0.0124,-0.0109,0.0149,-0.0072,0.0535,0.0433,-0.0569,0.0165
4.777,151.0,-227.0,-0.2140582948923111,-0.14604544639587402,1,0,127,0.950,-15.61,0.0211,-0.0088,0.0227,-0.0028,0.0575,0.0459,-0.0530,0.0190
4.827,153.0,-236.0,-0.22255662083625793,-0.1481439173221588,1,0,102,0.970,-15.94,0.0277,-0.0061,0.0283,0.0017,0.0612,0.0482,-0.0493,0.0213
4.876,153.0,-240.0,-0.22631704807281494,-0.1482205092906952,1,0,127,0.970,-16.27,0.0319,-0.0017,0.0311,0.0073,0.0655,0.0511,-0.0449,0.0242
4.927,147.0,-252.0,-0.23747777938842773,-0.14264491200447083,1,0,127,0.970,-16.58,0.0323,0.0012,0.0306,0.0104,0.0680,0.0529,-0.0425,0.0260
4.977,147.0,-256.0,-0.24123455584049225,-0.1427241861820221,1,0,127,0.970,-16.89,0.0298,0.0037,0.0274,0.0122,0.0702,0.0549,-0.0402,0.0280
5.027,140.0,-256.0,-0.24110093712806702,-0.135935977101326,1,0,127,0.970,-17.20,0.0261,0.0051,0.0234,0.0126,0.0715,0.0565,-0.0389,0.0297
5.077,139.0,-257.0,-0.24202090501785278,-0.134985089302063,1,0,127,0.970,-17.51,0.0240,0.0053,0.0213,0.0123,0.0724,0.0578,-0.0380,0.0309
5.127,136.0,-249.0,-0.23445896804332733,-0.1319292038679123,1,0,127,0.940,-17.83,0.0236,0.0047,0.0210,0.0117,0.0735,0.0586,-0.0369,0.0318
5.177,138.0,-251.0,-0.23637144267559052,-0.13390354812145233,1,0,127,0.940,-18.15,0.0259,0.0040,0.0234,0.0119,0.0750,0.0590,-0.0355,0.0321
5.227,135.0,-247.0,-0.23256465792655945,-0.13092488050460815,1,0,127,0.950,-18.47,0.0286,0.0029,0.0262,0.0118,0.0767,0.0589,-0.0337,0.0321
5.277,133.0,-252.0,-0.23722165822982788,-0.1290750652551651,1,0,127,0.950,-18.78,0.0305,0.0018,0.0283,0.0115,0.0788,0.0588,-0.0317,0.0319
5.327,130.0,-265.0,-0.2493615746498108,-0.12639881670475006,1,0,127,0.960,-19.09,0.0299,0.0015,0.0278,0.0112,0.0808,0.0587,-0.0297,0.0318
5.376,127.0,-266.0,-0.2502460479736328,-0.12350278347730637,1,0,127,0.960,-19.39,0.0255,0.0004,0.0239,0.0089,0.0819,0.0578,-0.0285,0.0309
5.427,121.0,-273.0,-0.2567019760608673,-0.117795430123806,1,0,127,0.950,-19.71,0.0188,-0.0004,0.0178,0.0059,0.0823,0.0568,-0.0281,0.0299
5.476,120.0,-274.0,-0.2576216757297516,-0.11684037744998932,1,0,127,0.950,-19.99,0.0114,-0.0007,0.0110,0.0032,0.0824,0.0567,-0.0281,0.0298
5.526,117.0,-269.0,-0.25288838148117065,-0.11383675038814545,1,0,127,0.960,-20.35,0.0047,-0.0016,0.0050,0.0001,0.0817,0.0565,-0.0288,0.0296
5.577,116.0,-268.0,-0.25193560123443604,-0.1128479540348053,1,0,127,0.960,-20.67,0.0000,-0.0028,0.0010,-0.0026,0.0804,0.0564,-0.0301,0.0295
5.627,116.0,-263.0,-0.24725227057933807,-0.1127658486366272,1,0,112,0.960,-20.96,-0.0019,-0.0050,-0.0000,-0.0054,0.0797,0.0561,-0.0308,0.0292
5.677,115.0,-262.0,-0.24629993736743927,-0.11177846789360046,1,0,103,0.960,-21.31,-0.0011,-0.0075,0.0017,-0.0074,0.0805,0.0552,-0.0299,0.0283
5.727,113.0,-267.0,-0.25095170736312866,-0.10991565138101578,1,0,116,0.950,-21.59,0.0006,-0.0102,0.0043,-0.0093,0.0827,0.0539,-0.0278,0.0270
5.776,110.0,-266.0,-0.24996942281723022,-0.10698411613702774,1,0,127,0.950,-21.91,0.0000,-0.0116,0.0044,-0.0107,0.0844,0.0529,-0.0260,0.0260
5.827,107.0,-274.0,-0.2574128806591034,-0.10419198870658875,1,0,127,0.960,-22.24,-0.0030,-0.0126,0.0020,-0.0128,0.0858,0.0517,-0.0247,0.0248
5.877,106.0,-276.0,-0.25926947593688965,-0.1032501682639122,1,0,127,0.960,-22.51,-0.0079,-0.0135,-0.0021,-0.0155,0.0866,0.0504,-0.0239,0.0235
5.927,103.0,-273.0,-0.2564179301261902,-0.10028446465730667,1,0,127,0.970,-22.81,-0.0138,-0.0145,-0.0071,-0.0187,0.0863,0.0493,-0.0241,0.0224
5.977,102.0,-270.0,-0.2535964846611023,-0.09926703572273254,1,0,112,0.970,-23.11,-0.0189,-0.0162,-0.0110,-0.0223,0.0852,0.0483,-0.0253,0.0214
6.026,102.0,-260.0,-0.2442379891872406,-0.09912315011024475,1,0,127,0.940,-23.40,-0.0211,-0.0187,-0.0120,-0.0256,0.0839,0.0472,-0.0265,0.0203
6.077,102.0,-256.0,-0.24049386382102966,-0.09906739741563797,1,0,127,0.940,-23.69,-0.0201,-0.0217,-0.0097,-0.0279,0.0832,0.0459,-0.0272,0.0190
6.127,103.0,-252.0,-0.23676250874996185,-0.09998270124197006,1,0,127,0.940,-23.97,-0.0174,-0.0245,-0.0059,-0.0294,0.0831,0.0445,-0.0274,0.0176
6.177,103.0,-253.0,-0.2376987636089325,-0.09999643266201019,1,0,127,0.940,-24.23,-0.0149,-0.0267,-0.0027,-0.0305,0.0833,0.0429,-0.0272,0.0160
6.226,102.0,-257.0,-0.24142992496490479,-0.09908124059438705,1,0,127,0.940,-24.49,-0.0142,-0.0284,-0.0011,-0.0318,0.0837,0.0415,-0.0267,0.0146
6.277,101.0,-261.0,-0.24516035616397858,-0.09816595911979675,1,0,127,0.940,-24.73,-0.0165,-0.0287,-0.0030,-0.0330,0.0825,0.0409,-0.0280,0.0140
6.327,100.0,-266.0,-0.24982579052448273,-0.09726467728614807,1,0,127,0.940,-24.96,-0.0208,-0.0283,-0.0069,-0.0344,0.0806,0.0403,-0.0299,0.0134
6.377,101.0,-264.0,-0.247967928647995,-0.09820821136236191,1,0,127,0.940,-25.18,-0.0250,-0.0279,-0.0107,-0.0359,0.0783,0.0400,-0.0321,0.0131
6.427,102.0,-261.0,-0.24517396092414856,-0.09913725405931473,1,0,82,0.910,-25.39,-0.0276,-0.0277,-0.0131,-0.0368,0.0759,0.0397,-0.0345,0.0128
6.477,104.0,-259.0,-0.24332936108112335,-0.10105110704898834,1,0,89,0.910,-25.60,-0.0275,-0.0286,-0.0124,-0.0376,0.0739,0.0390,-0.0365,0.0121
6.527,105.0,-249.0,-0.23398016393184662,-0.10188116133213043,1,0,78,0.970,-25.79,-0.0248,-0.0298,-0.0094,-0.0376,0.0723,0.0382,-0.0381,0.0113
6.577,104.0,-246.0,-0.23115754127502441,-0.10087092220783234,1,0,127,0.970,-25.96,-0.0207,-0.0308,-0.0052,-0.0367,0.0714,0.0373,-0.0390,0.0104
6.627,105.0,-251.0,-0.23585298657417297,-0.10190882533788681,1,0,62,0.940,-26.12,-0.0164,-0.0323,-0.0006,-0.0362,0.0708,0.0362,-0.0396,0.0093
6.676,104.0,-253.0,-0.23771218955516815,-0.10096660256385803,1,0,127,0.940,-26.27,-0.0143,-0.0330,0.0018,-0.0359,0.0702,0.0350,-0.0402,0.0081
6.727,103.0,-258.0,-0.24237953126430511,-0.10006601363420486,1,0,127,0.940,-26.41,-0.0142,-0.0323,0.0017,-0.0353,0.0697,0.0341,-0.0408,0.0072
6.776,103.0,-261.0,-0.2451876699924469,-0.10010852664709091,1,0,127,0.940,-26.55,-0.0155,-0.0310,-0.0000,-0.0347,0.0689,0.0335,-0.0415,0.0066
6.826,104.0,-261.0,-0.24520155787467957,-0.1010797992348671,1,0,127,0.970,-26.69,-0.0167,-0.0298,-0.0015,-0.0341,0.0681,0.0328,-0.0424,0.0059
6.877,104.0,-261.0,-0.24520155787467957,-0.1010797992348671,1,0,127,0.970,-26.83,-0.0168,-0.0294,-0.0017,-0.0338,0.0669,0.0321,-0.0435,0.0052
6.927,107.0,-260.0,-0.2443077564239502,-0.10397869348526001,1,0,104,0.940,-26.94,-0.0148,-0.0288,-0.0002,-0.0324,0.0663,0.0314,-0.0442,0.0045
6.976,106.0,-253.0,-0.2377394288778305,-0.10290686786174774,1,0,127,0.940,-27.07,-0.0109,-0.0289,0.0034,-0.0307,0.0664,0.0306,-0.0440,0.0037
7.027,104.0,-253.0,-0.23771218955516815,-0.10096660256385803,1,0,127,1.000,-27.18,-0.0059,-0.0297,0.0083,-0.0291,0.0671,0.0296,-0.0433,0.0027
7.076,104.0,-253.0,-0.23771218955516815,-0.10096660256385803,1,0,125,1.000,-27.27,-0.0026,-0.0298,0.0113,-0.0277,0.0679,0.0286,-0.0425,0.0017
7.127,102.0,-260.0,-0.2442379891872406,-0.09912315011024475,1,0,127,0.960,-27.35,-0.0004,-0.0297,0.0133,-0.0266,0.0691,0.0277,-0.0414,0.0008
7.176,103.0,-268.0,-0.2517390847206116,-0.10021001100540161,1,0,111,0.960,-27.45,-0.0006,-0.0290,0.0129,-0.0260,0.0700,0.0270,-0.0405,0.0001
7.227,101.0,-273.0,-0.2563892602920532,-0.09833843261003494,1,0,81,0.950,-27.54,-0.0030,-0.0269,0.0098,-0.0252,0.0708,0.0260,-0.0396,-0.0009
7.277,101.0,-274.0,-0.25732484459877014,-0.09835322201251984,1,0,127,0.950,-27.61,-0.0054,-0.0251,0.0069,-0.0247,0.0709,0.0256,-0.0396,-0.0013
7.327,102.0,-274.0,-0.25733914971351624,-0.09932639449834824,1,0,83,0.960,-27.69,-0.0077,-0.0228,0.0038,-0.0238,0.0709,0.0251,-0.0395,-0.0018
7.377,100.0,-269.0,-0.2526327967643738,-0.09730745106935501,1,0,110,0.960,-27.76,-0.0083,-0.0218,0.0028,-0.0232,0.0711,0.0249,-0.0393,-0.0020
7.427,99.0,-266.0,-0.24981223046779633,-0.0962926372885704,1,0,127,0.960,-27.83,-0.0079,-0.0208,0.0027,-0.0221,0.0714,0.0248,-0.0391,-0.0021
7.477,99.0,-266.0,-0.24981223046779633,-0.0962926372885704,1,0,127,0.960,-27.88,-0.0070,-0.0208,0.0036,-0.0216,0.0719,0.0246,-0.0385,-0.0023
7.527,95.0,-269.0,-0.2525654733181,-0.09244490414857864,1,0,127,0.950,-27.94,-0.0066,-0.0210,0.0040,-0.0217,0.0729,0.0241,-0.0375,-0.0028
7.577,96.0,-275.0,-0.25819075107574463,-0.09350122511386871,1,0,71,0.950,-27.99,-0.0073,-0.0208,0.0033,-0.0218,0.0741,0.0237,-0.0364,-0.0032
7.627,94.0,-279.0,-0.26190438866615295,-0.09161025285720825,1,0,127,0.970,-28.04,-0.0097,-0.0203,0.0010,-0.0225,0.0752,0.0231,-0.0352,-0.0037
7.677,93.0,-280.0,-0.26282596588134766,-0.09065017104148865,1,0,127,0.970,-28.09,-0.0144,-0.0184,-0.0040,-0.0230,0.0759,0.0230,-0.0345,-0.0039
7.727,93.0,-281.0,-0.26376092433929443,-0.09066420048475266,1,0,112,0.960,-28.14,-0.0176,-0.0162,-0.0079,-0.0226,0.0760,0.0233,-0.0344,-0.0036
7.777,94.0,-281.0,-0.26377445459365845,-0.09163854271173477,1,0,91,0.960,-28.19,-0.0220,-0.0139,-0.0128,-0.0226,0.0753,0.0242,-0.0352,-0.0026
